0	n	1	1			−0.1149	0.0027	
1	H	1	0	0	0	0.8783	0.0086	
2	1	3.82007	0.00065	2.1421	0.0088	
3	2			1.7591	0.0363	
2	He	3	1	1.059	0.003	1.9661	0.0030	0.0008
4	2	0	0	1.6755	0.0028	0
6	4	1.466	0.034	2.0660	0.0111	0.0082
8	6	0.911	0.095	1.9239	0.0306	0.0247
3	Li	6	3	0	0	2.5890	0.0390	0
7	4	−0.731	0.022	2.4440	0.0420	0.0046
8	5	−1.230	0.032	2.3390	0.0440	0.0070
9	6	−1.663	0.032	2.2450	0.0460	0.0073
11	8	−0.543	0.069	2.4820	0.0430	0.0141
4	Be	7	3	0.66	0.05	2.6460	0.0160	0.0094
9	5	0	0	2.5190	0.0120	0
10	6	−0.79	0.08	2.3550	0.0170	0.0170
11	7	−0.28	0.05	2.4630	0.0150	0.0102
5	B	10	5			2.4277	0.0499	
11	6			2.4060	0.0294	
6	C	12	6			2.4702	0.0022	
13	7			2.4614	0.0034	
14	8			2.5025	0.0087	
7	N	14	7			2.5582	0.0070	
15	8			2.6058	0.0080	
8	O	16	8			2.6991	0.0052	
17	9			2.6932	0.0075	
18	10			2.7726	0.0056	
9	F	19	10			2.8976	0.0025	
10	Ne	17	7	0.221	0.029	3.0413	0.0088	0.0048
18	8	−0.207	0.015	2.9714	0.0076	0.0025
19	9	0.017	0.019	3.0082	0.0040	0.0032
20	10	0	0	3.0055	0.0021	0
21	11	−0.217	0.014	2.9695	0.0033	0.0023
22	12	−0.322	0.004	2.9525	0.0040	0.0034
23	13	−0.572	0.034	2.9104	0.0071	0.0057
24	14	−0.628	0.019	2.9007	0.0078	0.0032
25	15	−0.431	0.016	2.9316	0.0088	0.0027
26	16	−0.485	0.018	2.9251	0.0100	0.0030
28	18	−0.241	0.035	2.9642	0.0134	0.0059
11	Na	20	9	−0.130	0.070	2.9718	0.0420	0.0117
21	10	0.120	0.050	3.0136	0.0284	0.0083
22	11	−0.050	0.040	2.9852	0.0169	0.0067
23	12	0	0	2.9936	0.0021	0
24	13	−0.120	0.040	2.9735	0.0169	0.0067
25	14	−0.100	0.030	2.9769	0.0252	0.0050
26	15	−0.005	0.018	2.9928	0.0331	0.0030
27	16	0.120	0.040	3.0136	0.0467	0.0067
28	17	0.280	0.050	3.0400	0.0581	0.0083
29	18	0.600	0.080	3.0922	0.0723	0.0132
30	19	0.760	0.120	3.1180	0.0884	0.0197
31	20	1.090	0.070	3.1704	0.0893	0.0116
12	Mg	24	12			3.0570	0.0016	
25	13			3.0284	0.0022	
26	14			3.0337	0.0018	
13	Al	27	14			3.0610	0.0031	
14	Si	28	14			3.1224	0.0024	
29	15			3.1176	0.0052	
30	16			3.1336	0.0040	
15	P	31	16			3.1889	0.0019	
16	S	32	16			3.2611	0.0018	
34	18			3.2847	0.0021	
36	20			3.2985	0.0024	
17	Cl	35	18			3.3654	0.0191	
37	20			3.3840	0.0170	
18	Ar	32	14	−0.375	0.038	3.3468	0.0062	0.0056
33	15	−0.395	0.021	3.3438	0.0058	0.0031
34	16	−0.251	0.006	3.3654	0.0040	0.0009
35	17	−0.263	0.026	3.3636	0.0042	0.0038
36	18	−0.084	0.018	3.3905	0.0023	0.0017
37	19	−0.081	0.009	3.3908	0.0022	0.0012
38	20	0	0	3.4028	0.0019	0
39	21	0.044	0.067	3.4093	0.0031	0.0025
40	22	0.167	0.009	3.4274	0.0026	0.0013
41	23	0.151	0.012	3.4251	0.0030	0.0018
43	25	0.262	0.012	3.4414	0.0041	0.0018
42	24	0.221	0.014	3.4354	0.0039	0.0020
44	26	0.289	0.009	3.4454	0.0046	0.0013
46	28	0.237	0.022	3.4377	0.0044	0.0032
19	K	38	19	−0.058	0.041	3.4264	0.0051	0.0060
39	20	0	0	3.4349	0.0019	0
40	21	0.022	0.002	3.4381	0.0028	0.0003
41	22	0.117	0.006	3.4518	0.0055	0.0009
42	23	0.116	0.015	3.4517	0.0070	0.0022
43	24	0.143	0.009	3.4556	0.0086	0.0013
44	25	0.148	0.011	3.4563	0.0101	0.0016
45	26	0.176	0.013	3.4605	0.0118	0.0019
46	27	0.143	0.012	3.4558	0.0126	0.0017
47	28	0.126	0.013	3.4534	0.0138	0.0019
20	Ca	39	19	−0.127	0.016	3.4595	0.0025	0.0023
40	20	0	0	3.4776	0.0019	0
41	21	0.003	0.003	3.4780	0.0019	0.0004
42	22	0.215	0.005	3.5081	0.0021	0.0007
43	23	0.125	0.003	3.4954	0.0019	0.0005
44	24	0.283	0.006	3.5179	0.0021	0.0009
45	25	0.119	0.006	3.4944	0.0021	0.0008
46	26	0.124	0.005	3.4953	0.0020	0.0007
47	27	0.005	0.001	3.4783	0.0024	0.0002
48	28	−0.004	0.006	3.4771	0.0020	0.0009
50	30	0.276	0.035	3.5168	0.0064	0.0050
21	Sc	42	21	0.172	0.031	3.5702	0.0238	0.0044
43	22	0.082	0.014	3.5575	0.0147	0.0020
44	23	−0.019	0.011	3.5432	0.0016	0.0016
45	24	0	0	3.5459	0.0025	0
46	25	−0.154	0.008	3.5243	0.0089	0.0011
22	Ti	44	22	0.143	0.037	3.6115	0.0051	0.0049
45	23	0.013	0.017	3.5939	0.0032	0.0024
46	24	0.110	0.007	3.6070	0.0022	0.0010
47	25	0.030	0.004	3.5962	0.0019	0.0006
48	26	0	0	3.5921	0.0017	0
49	27	−0.139	0.009	3.5733	0.0021	0.0013
50	28	−0.160	0.007	3.5704	0.0022	0.0010
23	V	51	28			3.6002	0.0022	
24	Cr	50	26	0.099	0.037	3.6588	0.0065	0.0051
52	28	0	0	3.6452	0.0042	0
53	29	0.043	0.045	3.6511	0.0075	0.0062
54	30	0.317	0.045	3.6885	0.0074	0.0061
25	Mn	50	25	0.046	0.003	3.7120	0.0196	0.0004
51	26	−0.023	0.045	3.7026	0.0212	0.0061
52	27	−0.259	0.013	3.6706	0.0128	0.0018
53	28	−0.292	0.004	3.6662	0.0076	0.0005
54	29	−0.165	0.007	3.6834	0.0049	0.0009
55	30	0	0	3.7057	0.0022	0
56	31	0.066	0.010	3.7146	0.0052	0.0013
26	Fe	54	28	−0.330	0.001	3.6933	0.0019	0.0001
56	30	0	0	3.7377	0.0016	0
57	31	0.108	0.001	3.7532	0.0017	0.0001
58	32	0.274	0.002	3.7745	0.0014	0.0003
27	Co	59	32			3.7875	0.0021	
28	Ni	58	30	−0.267	0.005	3.7757	0.0020	0.0007
60	32	0	0	3.8118	0.0016	0
61	33	0.082	0.007	3.8225	0.0019	0.0010
62	34	0.211	0.007	3.8399	0.0021	0.0009
64	36	0.338	0.010	3.8572	0.0023	0.0013
29	Cu	63	34			3.8823	0.0015	
65	36			3.9022	0.0014	
30	Zn	64	34	−0.162	0.002	3.9283	0.0015	0.0003
66	36	0	0	3.9491	0.0014	0
67	37	0.032	0.003	3.9530	0.0027	0.0004
68	38	0.131	0.002	3.9658	0.0014	0.0003
70	40	0.286	0.003	3.9845	0.0019	0.0004
31	Ga	69	38			3.9973	0.0017	
71	40			4.0118	0.0018	
32	Ge	70	38			4.0414	0.0012	
72	40			4.0576	0.0013	
73	41			4.0632	0.0014	
74	42			4.0742	0.0012	
76	44			4.0811	0.0012	
33	As	75	42			4.0968	0.0020	
34	Se	74	40			4.0700	0.0200	
76	42			4.1395	0.0016	
77	43			4.1395	0.0018	
78	44			4.1406	0.0017	
80	46			4.1400	0.0018	
82	48			4.1400	0.0019	
35	Br	79	44			4.1629	0.0021	
81	46			4.1599	0.0021	
36	Kr	72	36	−0.168	0.018	4.1635	0.0060	0.0022
74	38	0.030	0.005	4.1870	0.0041	0.0006
75	39	0.221	0.007	4.2097	0.0041	0.0008
76	40	0.156	0.004	4.2020	0.0036	0.0005
77	41	0.209	0.005	4.2082	0.0037	0.0006
78	42	0.172	0.003	4.2038	0.0033	0.0004
